rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H6_Facial Coverings,Tonga,TON,41.2487,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,H6_Facial Coverings,Tonga,TON,0.38148,percent,2019.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H6_Facial Coverings,Tonga,TON,1.15699995,percent of total labor force,2020.0
4,Health,"Nurses and midwives (per 1,000 people)",H6_Facial Coverings,Tonga,TON,4.157,Ones,2018.0
5,Health,Prevalence of COVID-19,H6_Facial Coverings,Tonga,TON,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Governance,Regulatory quality estimate,H6_Facial Coverings,Tonga,TON,-0.3266392,score,2019.0
8,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H6_Facial Coverings,Tonga,TON,3.2,percent,2018.0
9,Health,Prevalence of Depressive disorders,H6_Facial Coverings,Tonga,TON,0.025356,percent,2019.0
10,Health,Prevalence of total cancers,H6_Facial Coverings,Tonga,TON,0.006241,percent,2019.0
11,Governance,Total freedom in the world score ,H6_Facial Coverings,Tonga,TON,79.0,score,2021.0
12,Environment,CO2 emissions (kt),H6_Facial Coverings,Tonga,TON,128.345,kt,2016.0
13,Environment,Renewable energy consumption ,H6_Facial Coverings,Tonga,TON,1.87975158224647,percent of total final energy consumption,2015.0
16,Demographics,Fixed broadband subscriptions,H6_Facial Coverings,Tonga,TON,3.54374,per 100 people,2019.0
17,Social issues ,Net migration,H6_Facial Coverings,Tonga,TON,-3999.0,net total / data are 5 year estimates,2019.0
19,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",H6_Facial Coverings,Tonga,TON,12.6,percent,2020.0
21,Economics,Employment in services (% of total employment) (modeled ILO estimate),H6_Facial Coverings,Tonga,TON,47.0690002,Percentage of total employment,2020.0
23,Health,Prevalence of chronic kidney disease,H6_Facial Coverings,Tonga,TON,0.097573,percent,2019.0
25,Demographics,Secure Internet servers ,H6_Facial Coverings,Tonga,TON,229.6782590387965,per 1 million people,2019.0
26,Economics,Volume of exports,H6_Facial Coverings,Tonga,TON,-0.953,percent change,2017.0
29,Governance,Aggregate score for the Civil Liberties category,H6_Facial Coverings,Tonga,TON,49.0,score,2021.0
30,Health,Prevalence of down syndrome,H6_Facial Coverings,Tonga,TON,0.000155,percent,2019.0
31,Health,Prevalence of Diabetes,H6_Facial Coverings,Tonga,TON,0.090864,percent,2019.0
32,Demographics,Urban population (% of total population),H6_Facial Coverings,Tonga,TON,23.107,total,2019.0
33,Economics,Volume of imports,H6_Facial Coverings,Tonga,TON,-1.127,percent change,2017.0
34,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",H6_Facial Coverings,Tonga,TON,15500.1,international $ in PPP,2020.0
36,Social issues ,Proportion of seats held by women in national parliaments (%),H6_Facial Coverings,Tonga,TON,7.407407407,proportion,2020.0
40,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H6_Facial Coverings,Tonga,TON,59.7509995,Percentage of total population,2020.0
41,Health,Prevalence of anxiety disorders,H6_Facial Coverings,Tonga,TON,0.04113,percent,2019.0
