rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Denmark,DNK,98.0464,percent of population,2019.0
2,Demographics,Secure Internet servers ,H7_Vaccination policy,Denmark,DNK,277133.6791123154,per 1 million people,2019.0
4,Environment,Electric power consumption ,H7_Vaccination policy,Denmark,DNK,5858.801536287482,kWh per capita,2014.0
5,Health,Prevalence of COVID-19,H7_Vaccination policy,Denmark,DNK,128321.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Denmark,DNK,28.7,index ,2017.0
7,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Denmark,DNK,40.0,score,2021.0
8,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Denmark,DNK,2816.614565399422,kg of oil equivalent per capita,2015.0
9,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Denmark,DNK,43.946,per 100 people,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Denmark,DNK,1004960.0,number,2019.0
11,Governance,Corruption Perceptions Index,H7_Vaccination policy,Denmark,DNK,88.0,score,2020.0
12,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Denmark,DNK,19.364456479992,percent of GNI,2018.0
13,Health,Prevalence of Diabetes,H7_Vaccination policy,Denmark,DNK,0.073523,percent,2019.0
14,Social issues ,Net migration,H7_Vaccination policy,Denmark,DNK,75998.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of total cancers,H7_Vaccination policy,Denmark,DNK,0.038437,percent,2019.0
16,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Denmark,DNK,97.0,percent,2019.0
17,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Denmark,DNK,8.4,percent,2018.0
18,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Denmark,DNK,0.044083,percent,2019.0
