rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Malta,MLT,85.7786,percent of population,2019.0
2,Demographics,Secure Internet servers ,H7_Vaccination policy,Malta,MLT,10870.32207109079,per 1 million people,2019.0
4,Environment,Electric power consumption ,H7_Vaccination policy,Malta,MLT,4924.544019440443,kWh per capita,2014.0
5,Health,Prevalence of COVID-19,H7_Vaccination policy,Malta,MLT,11569.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Malta,MLT,29.2,index ,2017.0
7,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Malta,MLT,35.0,score,2021.0
8,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Malta,MLT,1781.504425186051,kg of oil equivalent per capita,2014.0
9,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Malta,MLT,45.2438,per 100 people,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Malta,MLT,257010.0,number,2019.0
11,Governance,Corruption Perceptions Index,H7_Vaccination policy,Malta,MLT,53.0,score,2020.0
13,Health,Prevalence of Diabetes,H7_Vaccination policy,Malta,MLT,0.12449,percent,2019.0
14,Social issues ,Net migration,H7_Vaccination policy,Malta,MLT,4501.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of total cancers,H7_Vaccination policy,Malta,MLT,0.030422,percent,2019.0
16,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Malta,MLT,98.0,percent,2019.0
17,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Malta,MLT,5.7,percent,2018.0
18,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Malta,MLT,0.039451,percent,2019.0
19,Environment,CO2 emissions (kt),H7_Vaccination policy,Malta,MLT,1342.122,kt,2016.0
20,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Malta,MLT,3.3670001,percent of total labor force,2020.0
21,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Malta,MLT,96.0,percent,2019.0
23,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Malta,MLT,97.78846,percent of total,2014.0
24,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Malta,MLT,0.002887,percent,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Malta,MLT,13.90954,micrograms per cubic meter,2017.0
26,Environment,Combustible renewables and waste,H7_Vaccination policy,Malta,MLT,0.820107,percent of total energy,2014.0
27,Economics,Volume of imports,H7_Vaccination policy,Malta,MLT,1.87,percent change,2020.0
28,Social issues ,Proportion of seats held by women in national parliaments (%),H7_Vaccination policy,Malta,MLT,13.43283582,proportion,2020.0
29,Governance,Personal Freedom Score ,H7_Vaccination policy,Malta,MLT,8.72,score,2018.0
30,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H7_Vaccination policy,Malta,MLT,56.3269997,Percentage of total population,2020.0
32,Governance,Aggregate score for the Civil Liberties category,H7_Vaccination policy,Malta,MLT,55.0,score,2021.0
33,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,Malta,MLT,92.32540291634689,percent of total,2015.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,Malta,MLT,183.0,"Number (cumulative total by Dec 26,2020)",2020.0
35,Social issues ,Press freedom score,H7_Vaccination policy,Malta,MLT,30.16,score,2020.0
