rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Mozambique,MOZ,10.0,percent of population,2019.0
2,Demographics,Secure Internet servers ,H7_Vaccination policy,Mozambique,MOZ,20.51634266652388,per 1 million people,2019.0
4,Environment,Electric power consumption ,H7_Vaccination policy,Mozambique,MOZ,478.9211723293354,kWh per capita,2014.0
5,Health,Prevalence of COVID-19,H7_Vaccination policy,Mozambique,MOZ,17256.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Gini index (World Bank estimate),H7_Vaccination policy,Mozambique,MOZ,54.0,index ,2014.0
7,Governance,Aggregate score for the Political Rights category,H7_Vaccination policy,Mozambique,MOZ,14.0,score,2021.0
8,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Mozambique,MOZ,442.665215155213,kg of oil equivalent per capita,2014.0
9,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Mozambique,MOZ,0.237252,per 100 people,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Mozambique,MOZ,63006.0,number,2019.0
11,Governance,Corruption Perceptions Index,H7_Vaccination policy,Mozambique,MOZ,25.0,score,2020.0
12,Environment,"Adjusted net savings, including particulate emission damage",H7_Vaccination policy,Mozambique,MOZ,5.06439305545903,percent of GNI,2018.0
13,Health,Prevalence of Diabetes,H7_Vaccination policy,Mozambique,MOZ,0.01906,percent,2019.0
14,Social issues ,Net migration,H7_Vaccination policy,Mozambique,MOZ,-25000.0,net total / data are 5 year estimates,2019.0
15,Health,Prevalence of total cancers,H7_Vaccination policy,Mozambique,MOZ,0.002234,percent,2019.0
16,Health,"Immunization, DPT (% of children ages 12-23 months)",H7_Vaccination policy,Mozambique,MOZ,88.0,percent,2019.0
17,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),H7_Vaccination policy,Mozambique,MOZ,1.7,percent,2018.0
18,Health,Prevalence of Depressive disorders,H7_Vaccination policy,Mozambique,MOZ,0.034718,percent,2019.0
19,Environment,CO2 emissions (kt),H7_Vaccination policy,Mozambique,MOZ,7942.722,kt,2016.0
20,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",H7_Vaccination policy,Mozambique,MOZ,3.2420001,percent of total labor force,2020.0
21,Health,"Immunization, measles (% of children ages 12-23 months)",H7_Vaccination policy,Mozambique,MOZ,87.0,percent,2019.0
23,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Mozambique,MOZ,12.61995,percent of total,2014.0
24,Health,Prevalence of Hypertensive heart disease,H7_Vaccination policy,Mozambique,MOZ,0.000836,percent,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",H7_Vaccination policy,Mozambique,MOZ,21.2987,micrograms per cubic meter,2017.0
