Policy,Indicator,score,rank
C1_School closing,People using safely managed drinking water,0.02005851072932552,1
C1_School closing,Refugee population by country or territory of asylum,0.019870158292751926,2
C1_School closing,Urban population,0.016377602920487427,3
C1_School closing,Life Ladder ,0.01601359959541917,4
C1_School closing,Electric power consumption,0.01544664579430439,5
C1_School closing,CO2 emissions,0.015414596705868509,6
C1_School closing,Prevalence of total cancers,0.014976438604231252,7
C1_School closing,Prevalence of COVID-19,0.014771583847061303,8
C1_School closing,Volume of exports of goods and services,0.01397491002283054,9
C1_School closing,Total greenhouse gas emissions,0.013962111872864568,10
C1_School closing,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0.01384643256949601,11
C1_School closing,"Central government debt, total",0.013575290749265539,12
C1_School closing,"Government expenditure of education, total",0.013535360941080645,13
C1_School closing,"Intentional homicides (per 100,000 people)",0.013459972585496374,14
C1_School closing,Proportion of seats held by women in national parliaments,0.013437293622150237,15
C1_School closing,"Electricity production from oil, gas and coal sources",0.01289882139485104,16
C1_School closing,Political stability and absence of violence,0.012739642072370574,17
C1_School closing,Exports of goods and services,0.012725412268903608,18
C1_School closing,Incidence of tuberculosis,0.01263062341102754,19
C1_School closing,Age dependency ratio,0.012542817150202397,20
C1_School closing,Hospital beds,0.012437266959677132,21
C1_School closing,Proportion of women in managerial positions (%),0.012277790170366912,22
C1_School closing,Current health expenditure,0.012179127089381351,23
C1_School closing,Nurses and midwives,0.012082737794243171,24
C1_School closing,Electricity production from nuclear sources,0.012035675018074487,25
C1_School closing,Regulatory quality,0.011953165448352742,26
C1_School closing,Human Freedom Score ,0.011936653496222839,27
C1_School closing,Summary exposure value tobacco,0.011813543838103041,28
C1_School closing,Fixed broadband subscriptions,0.011733555901440172,29
C1_School closing,"Prevalence of stunting, height for age",0.011456854928966656,30
C1_School closing,"Primary completion rate, total",0.011444233013043467,31
C1_School closing,Mortality due to COVID-19,0.011440260403369318,32
C1_School closing,Imports of goods and services percent of GDP,0.011380829610540244,33
C1_School closing,Prevalence of Depressive disorders,0.011274606698135948,34
C1_School closing,"Age dependency ratio, old",0.011152992328384737,35
C1_School closing,Rural population,0.01111524086164167,36
C1_School closing,Combustible renewables and waste,0.011037168925858364,37
C1_School closing,Prevalence of obesity,0.011010725235922279,38
C1_School closing,Serious assault (rate),0.010983099507991366,39
C1_School closing,Merchandise trade,0.010863492152739435,40
C1_School closing,Renewable energy consumption ,0.010837620606107188,41
C1_School closing,Economic Freedom Score,0.01071793799133763,42
C1_School closing,"Adjusted net savings, including particulate emission damage",0.010709237915963558,43
C1_School closing,Mobile cellular subscriptions,0.010609183137765092,44
C1_School closing,Personal Freedom Score ,0.010600095214586831,45
C1_School closing,Corruption Perceptions Index,0.01042045422092305,46
