ISO,Policy,score,rank
AUT,H7_Vaccination policy,0.1337301934855738,1
AUT,H2_Testing policy,0.0995160418261013,2
AUT,C6_Stay at home requirements,0.0865050416102241,3
AUT,C5_Close public transport,0.0692996285128859,4
AUT,C2_Workplace closing,0.0643628454657668,5
AUT,C1_School closing,0.0587788172964745,6
AUT,H6_Facial Coverings,0.0581784725432888,7
AUT,C3_Cancel public events,0.057803726869485,8
AUT,C7_Restrictions on internal movement,0.0554808208360919,9
AUT,C4_Restrictions on gatherings,0.0434650276099343,10
AUT,H3_Contact tracing,0.0384793771258803,11
AUT,E1_Income support,0.0339978960095789,12
AUT,C8_International travel controls,0.0292103506782241,13
AUT,E2_Debt/contract relief,0.0059230468726523,14
AUT,H1_Public information campaigns,0.0004008961019003,15
