ISO,Policy,score,rank
BGR,H7_Vaccination policy,0.1338112881410351,1
BGR,C3_Cancel public events,0.0948188621911788,2
BGR,C2_Workplace closing,0.0902682144196909,3
BGR,C1_School closing,0.0857156140159383,4
BGR,H6_Facial Coverings,0.0695802663374295,5
BGR,C8_International travel controls,0.0666219301655116,6
BGR,C4_Restrictions on gatherings,0.059558545507567,7
BGR,H3_Contact tracing,0.045884873871083,8
BGR,E1_Income support,0.0385370032057756,9
BGR,C7_Restrictions on internal movement,0.0337896372484841,10
BGR,C6_Stay at home requirements,0.0292430834308608,11
BGR,E2_Debt/contract relief,0.0269581777284158,12
BGR,H2_Testing policy,0.0211280095257364,13
BGR,C5_Close public transport,0.0124413563109679,14
BGR,H1_Public information campaigns,0.0,15
