ISO,Policy,score,rank
BHR,H7_Vaccination policy,0.1010300612460074,1
BHR,C8_International travel controls,0.0861112032809971,2
BHR,C1_School closing,0.0741684009792521,3
BHR,C4_Restrictions on gatherings,0.0709571976562817,4
BHR,C3_Cancel public events,0.0697934644105634,5
BHR,C5_Close public transport,0.0683185031862188,6
BHR,C6_Stay at home requirements,0.0601185292019539,7
BHR,H6_Facial Coverings,0.0592048384672587,8
BHR,E2_Debt/contract relief,0.0451557136854773,9
BHR,E1_Income support,0.0435147229223856,10
BHR,C2_Workplace closing,0.0402047531888191,11
BHR,H2_Testing policy,0.0394576817561794,12
BHR,C7_Restrictions on internal movement,0.032883154661069,13
BHR,H1_Public information campaigns,0.0214505074130066,14
BHR,H3_Contact tracing,0.0135191716639058,15
