ISO,Policy,score,rank
BHS,H7_Vaccination policy,0.0779367005071866,1
BHS,C3_Cancel public events,0.0767000785834383,2
BHS,C5_Close public transport,0.0732170232249003,3
BHS,H2_Testing policy,0.0712248467586597,4
BHS,C8_International travel controls,0.0704156595531828,5
BHS,E2_Debt/contract relief,0.0694506398381908,6
BHS,H6_Facial Coverings,0.0566705541931491,7
BHS,E1_Income support,0.0547875535401162,8
BHS,C6_Stay at home requirements,0.050615450277507,9
BHS,C4_Restrictions on gatherings,0.0483781601458964,10
BHS,C2_Workplace closing,0.0436720689983263,11
BHS,C7_Restrictions on internal movement,0.0424224744967505,12
BHS,C1_School closing,0.0372806740332054,13
BHS,H3_Contact tracing,0.0343895054041651,14
BHS,H1_Public information campaigns,0.0299211149493603,15
