ISO,Policy,score,rank
BIH,H7_Vaccination policy,0.1281423714486698,1
BIH,C8_International travel controls,0.0944762913553061,2
BIH,C6_Stay at home requirements,0.0920291704837711,3
BIH,E2_Debt/contract relief,0.0816656747116167,4
BIH,C4_Restrictions on gatherings,0.0714734077875664,5
BIH,C1_School closing,0.0688095675618781,6
BIH,C2_Workplace closing,0.0628634637994556,7
BIH,H2_Testing policy,0.0619361658712239,8
BIH,C7_Restrictions on internal movement,0.0546298673361095,9
BIH,H6_Facial Coverings,0.0466566942021633,10
BIH,C5_Close public transport,0.0375986043347574,11
BIH,E1_Income support,0.0264977097814371,12
BIH,H1_Public information campaigns,0.0229961599216981,13
BIH,H3_Contact tracing,0.0018778384972352,14
BIH,C3_Cancel public events,0.0,15
