ISO,Policy,score,rank
BLR,H7_Vaccination policy,0.1298575043511612,1
BLR,C8_International travel controls,0.1168182849678641,2
BLR,H2_Testing policy,0.1005808058511997,3
BLR,H1_Public information campaigns,0.0739380240816836,4
BLR,H6_Facial Coverings,0.071765897792161,5
BLR,C4_Restrictions on gatherings,0.0656245412338786,6
BLR,H3_Contact tracing,0.0481422488771906,7
BLR,C1_School closing,0.044213301178324,8
BLR,C3_Cancel public events,0.0400577094711831,9
BLR,C6_Stay at home requirements,0.0370693950911812,10
BLR,C2_Workplace closing,0.0349837806987305,11
BLR,E2_Debt/contract relief,0.0320773806393044,12
BLR,E1_Income support,0.0143934613368373,13
BLR,C7_Restrictions on internal movement,0.0083231659602755,14
BLR,C5_Close public transport,0.0015866399670098,15
