ISO,Policy,score,rank
BRA,H7_Vaccination policy,0.1182731095497507,1
BRA,C1_School closing,0.0937739969982964,2
BRA,C6_Stay at home requirements,0.0890919538699261,3
BRA,C8_International travel controls,0.0828554427001263,4
BRA,C5_Close public transport,0.0768454403666134,5
BRA,E1_Income support,0.0715725778131396,6
BRA,C2_Workplace closing,0.0649651309355862,7
BRA,C4_Restrictions on gatherings,0.0591226139537934,8
BRA,H2_Testing policy,0.050705036911963,9
BRA,H3_Contact tracing,0.0463396375524872,10
BRA,H6_Facial Coverings,0.0363934496353488,11
BRA,E2_Debt/contract relief,0.0266866891876931,12
BRA,H1_Public information campaigns,0.0249136998692868,13
BRA,C3_Cancel public events,0.0243871284570492,14
BRA,C7_Restrictions on internal movement,0.004625732944578,15
