ISO,Policy,score,rank
CAN,C5_Close public transport,0.1096554347388327,1
CAN,H7_Vaccination policy,0.0942941690062271,2
CAN,H6_Facial Coverings,0.0840860608204611,3
CAN,C2_Workplace closing,0.0812823293288263,4
CAN,H3_Contact tracing,0.0770550161577681,5
CAN,C1_School closing,0.0450364481898913,6
CAN,C6_Stay at home requirements,0.0430565840144941,7
CAN,C4_Restrictions on gatherings,0.0371707926954821,8
CAN,E1_Income support,0.0326787766339636,9
CAN,E2_Debt/contract relief,0.026610394876924,10
CAN,C7_Restrictions on internal movement,0.0265022995112487,11
CAN,H2_Testing policy,0.0261693061076518,12
CAN,H1_Public information campaigns,0.0261100671935664,13
CAN,C8_International travel controls,0.0214789708678884,14
CAN,C3_Cancel public events,0.0,15
