ISO,Policy,score,rank
CHL,H7_Vaccination policy,0.0783099257521985,1
CHL,C5_Close public transport,0.0743915416627568,2
CHL,H2_Testing policy,0.0721658667813625,3
CHL,C1_School closing,0.0708712235245042,4
CHL,C4_Restrictions on gatherings,0.0694500065202532,5
CHL,C8_International travel controls,0.0667229107822332,6
CHL,E2_Debt/contract relief,0.0605544931579986,7
CHL,E1_Income support,0.0589448829244404,8
CHL,H6_Facial Coverings,0.0547939355692912,9
CHL,H3_Contact tracing,0.0477609029861798,10
CHL,C6_Stay at home requirements,0.040007620850013,11
CHL,C2_Workplace closing,0.0391129498810764,12
CHL,H1_Public information campaigns,0.0318581420414346,13
CHL,C7_Restrictions on internal movement,0.0260376778014871,14
CHL,C3_Cancel public events,0.0224825354577514,15
