ISO,Policy,score,rank
CPV,H7_Vaccination policy,0.1128598773507175,1
CPV,C8_International travel controls,0.0910935140608017,2
CPV,H3_Contact tracing,0.0729984075465709,3
CPV,H6_Facial Coverings,0.0720723762281142,4
CPV,E2_Debt/contract relief,0.0717647561525294,5
CPV,C7_Restrictions on internal movement,0.0696571486048244,6
CPV,C2_Workplace closing,0.0591030701061911,7
CPV,H2_Testing policy,0.0576513432950921,8
CPV,C4_Restrictions on gatherings,0.0473475622347412,9
CPV,C5_Close public transport,0.0427206270379052,10
CPV,C6_Stay at home requirements,0.0306137345196734,11
CPV,E1_Income support,0.0233830548838167,12
CPV,C1_School closing,0.013212016063951,13
CPV,H1_Public information campaigns,0.00789916457405,14
CPV,C3_Cancel public events,0.0,15
