ISO,Policy,score,rank
CUB,H7_Vaccination policy,0.0962378350527208,1
CUB,C6_Stay at home requirements,0.0858034720264551,2
CUB,C8_International travel controls,0.0830034722219705,3
CUB,C2_Workplace closing,0.0758839836810849,4
CUB,H6_Facial Coverings,0.0667084924351183,5
CUB,C1_School closing,0.066265384483106,6
CUB,C4_Restrictions on gatherings,0.0658682031461461,7
CUB,E1_Income support,0.0635099038593098,8
CUB,H2_Testing policy,0.0597714232378274,9
CUB,E2_Debt/contract relief,0.058966991786454,10
CUB,C5_Close public transport,0.0375053459680337,11
CUB,C3_Cancel public events,0.0369759834173808,12
CUB,C7_Restrictions on internal movement,0.0341036159174048,13
CUB,H1_Public information campaigns,0.024444147830694,14
CUB,H3_Contact tracing,0.0241259589114124,15
