ISO,Policy,score,rank
CZE,H7_Vaccination policy,0.0777128249979272,1
CZE,H6_Facial Coverings,0.0772259704337993,2
CZE,C5_Close public transport,0.0744712962198622,3
CZE,C7_Restrictions on internal movement,0.0729249111384521,4
CZE,C2_Workplace closing,0.07197073208603,5
CZE,C6_Stay at home requirements,0.0673489933439429,6
CZE,C4_Restrictions on gatherings,0.0624757088180503,7
CZE,C3_Cancel public events,0.0551379958907276,8
CZE,H2_Testing policy,0.0522952423483092,9
CZE,C1_School closing,0.0473767265698186,10
CZE,C8_International travel controls,0.0443485091728135,11
CZE,E2_Debt/contract relief,0.0427137141868604,12
CZE,E1_Income support,0.0316241244914012,13
CZE,H3_Contact tracing,0.0256714307939889,14
CZE,H1_Public information campaigns,0.0255922298332349,15
