ISO,Policy,score,rank
FJI,H7_Vaccination policy,0.1171747909144687,1
FJI,C2_Workplace closing,0.1133689542431186,2
FJI,H6_Facial Coverings,0.0876178696223629,3
FJI,C7_Restrictions on internal movement,0.0712955968739397,4
FJI,C8_International travel controls,0.0688545694508606,5
FJI,C1_School closing,0.0661011343247246,6
FJI,H2_Testing policy,0.0588297013828785,7
FJI,E2_Debt/contract relief,0.0556471914224278,8
FJI,C4_Restrictions on gatherings,0.0498444980412368,9
FJI,H3_Contact tracing,0.0400364237888697,10
FJI,H1_Public information campaigns,0.0377601694166954,11
FJI,E1_Income support,0.0279878713797499,12
FJI,C6_Stay at home requirements,0.0260883200516177,13
FJI,C5_Close public transport,0.0117228749580991,14
FJI,C3_Cancel public events,0.0049102558711263,15
