ISO,Policy,score,rank
FRA,H7_Vaccination policy,0.1067088005550706,1
FRA,H6_Facial Coverings,0.0793147645149234,2
FRA,C6_Stay at home requirements,0.0781821039214781,3
FRA,C7_Restrictions on internal movement,0.0711185357592227,4
FRA,C3_Cancel public events,0.0629045869577499,5
FRA,C2_Workplace closing,0.0605831687365799,6
FRA,C1_School closing,0.0569656276238846,7
FRA,E2_Debt/contract relief,0.0454958260897898,8
FRA,H2_Testing policy,0.0386524795030171,9
FRA,C5_Close public transport,0.037309561755112,10
FRA,C4_Restrictions on gatherings,0.0344015050495156,11
FRA,H1_Public information campaigns,0.033953131751526,12
FRA,H3_Contact tracing,0.0268131133993222,13
FRA,E1_Income support,0.0147717488298774,14
FRA,C8_International travel controls,0.0,15
