ISO,Policy,score,rank
GAB,H7_Vaccination policy,0.0801694338099098,1
GAB,H6_Facial Coverings,0.0755387437038268,2
GAB,E1_Income support,0.075390419441481,3
GAB,C2_Workplace closing,0.0720336236380401,4
GAB,H1_Public information campaigns,0.0717336597454319,5
GAB,C1_School closing,0.0654742410404872,6
GAB,E2_Debt/contract relief,0.063807887377218,7
GAB,C5_Close public transport,0.0616811997605546,8
GAB,H2_Testing policy,0.058995849500442,9
GAB,C3_Cancel public events,0.0497366606358634,10
GAB,C4_Restrictions on gatherings,0.048106395817551,11
GAB,H3_Contact tracing,0.0467429990441453,12
GAB,C8_International travel controls,0.0342815728909218,13
GAB,C7_Restrictions on internal movement,0.0141437667735283,14
GAB,C6_Stay at home requirements,0.0,15
