ISO,Policy,score,rank
GEO,H6_Facial Coverings,0.1493088278206277,1
GEO,H7_Vaccination policy,0.1031065600263562,2
GEO,C8_International travel controls,0.0938179205151476,3
GEO,C6_Stay at home requirements,0.0832126418034256,4
GEO,C5_Close public transport,0.0812950154045112,5
GEO,C3_Cancel public events,0.0734276655826419,6
GEO,E2_Debt/contract relief,0.0676295181075941,7
GEO,C1_School closing,0.0641072073732397,8
GEO,C7_Restrictions on internal movement,0.0592789794767072,9
GEO,C4_Restrictions on gatherings,0.0565978971320384,10
GEO,H2_Testing policy,0.0316001020265616,11
GEO,C2_Workplace closing,0.0271627878778629,12
GEO,H3_Contact tracing,0.0093404415223917,13
GEO,H1_Public information campaigns,0.0054640578856399,14
GEO,E1_Income support,0.0,15
