ISO,Policy,score,rank
GRC,H7_Vaccination policy,0.1005915442528763,1
GRC,C1_School closing,0.0744119158114143,2
GRC,C2_Workplace closing,0.0739367670828571,3
GRC,H6_Facial Coverings,0.0703237938991485,4
GRC,C6_Stay at home requirements,0.066448764026236,5
GRC,C5_Close public transport,0.0632166392540828,6
GRC,C8_International travel controls,0.0615774452638794,7
GRC,C3_Cancel public events,0.0583176977484339,8
GRC,C7_Restrictions on internal movement,0.0582890310355604,9
GRC,H2_Testing policy,0.0556024230457619,10
GRC,E2_Debt/contract relief,0.053074839799371,11
GRC,C4_Restrictions on gatherings,0.0418555040909588,12
GRC,E1_Income support,0.0374302146925493,13
GRC,H3_Contact tracing,0.0359860871311217,14
GRC,H1_Public information campaigns,0.0076680195478448,15
