ISO,Policy,score,rank
GTM,H7_Vaccination policy,0.1015288384803033,1
GTM,H3_Contact tracing,0.1010516974221405,2
GTM,E1_Income support,0.0779218693795178,3
GTM,C1_School closing,0.0758387378251943,4
GTM,C6_Stay at home requirements,0.0758071530124167,5
GTM,C2_Workplace closing,0.0611374897650337,6
GTM,C8_International travel controls,0.0570669972444806,7
GTM,C7_Restrictions on internal movement,0.0563861142367257,8
GTM,H6_Facial Coverings,0.0543299494398185,9
GTM,C4_Restrictions on gatherings,0.0539947077472028,10
GTM,C3_Cancel public events,0.0522139192194607,11
GTM,H2_Testing policy,0.0449804705396302,12
GTM,H1_Public information campaigns,0.0411131251982365,13
GTM,E2_Debt/contract relief,0.0052133754412973,14
GTM,C5_Close public transport,0.0044700098773107,15
