ISO,Policy,score,rank
IRL,H7_Vaccination policy,0.0950631061856892,1
IRL,C1_School closing,0.0900289280356426,2
IRL,H6_Facial Coverings,0.0891271125769435,3
IRL,C4_Restrictions on gatherings,0.0882005581242733,4
IRL,H3_Contact tracing,0.0808781419758736,5
IRL,C8_International travel controls,0.0590426988277166,6
IRL,C5_Close public transport,0.0557036480973359,7
IRL,E2_Debt/contract relief,0.0528009287050905,8
IRL,C2_Workplace closing,0.0526667318835605,9
IRL,C3_Cancel public events,0.0513207225232506,10
IRL,C6_Stay at home requirements,0.0463716390775619,11
IRL,C7_Restrictions on internal movement,0.0398343299207968,12
IRL,E1_Income support,0.0223073348604734,13
IRL,H2_Testing policy,0.0002581621800046,14
IRL,H1_Public information campaigns,0.0,15
