ISO,Policy,score,rank
ISR,H7_Vaccination policy,0.0724729209972868,1
ISR,H2_Testing policy,0.0710433505954186,2
ISR,C8_International travel controls,0.068468305186254,3
ISR,C1_School closing,0.0615304160802001,4
ISR,C2_Workplace closing,0.0607014586601721,5
ISR,C4_Restrictions on gatherings,0.0598484498738399,6
ISR,C7_Restrictions on internal movement,0.0595162639965055,7
ISR,E1_Income support,0.0580590203830463,8
ISR,C6_Stay at home requirements,0.0557224102939774,9
ISR,H6_Facial Coverings,0.0525141062411292,10
ISR,C3_Cancel public events,0.0522223849280381,11
ISR,H3_Contact tracing,0.0521819928886621,12
ISR,C5_Close public transport,0.0462855507613782,13
ISR,E2_Debt/contract relief,0.0397291125025537,14
ISR,H1_Public information campaigns,0.0252563643543475,15
