ISO,Policy,score,rank
ITA,H7_Vaccination policy,0.0976667527011053,1
ITA,C5_Close public transport,0.0727167170555543,2
ITA,C2_Workplace closing,0.0675421521630385,3
ITA,H6_Facial Coverings,0.0674024005917668,4
ITA,C1_School closing,0.064357041692542,5
ITA,H2_Testing policy,0.063653723754068,6
ITA,C4_Restrictions on gatherings,0.0611716355761445,7
ITA,C6_Stay at home requirements,0.059433770489194,8
ITA,E2_Debt/contract relief,0.0577514529260883,9
ITA,C7_Restrictions on internal movement,0.0534643828811643,10
ITA,E1_Income support,0.050340108280481,11
ITA,C8_International travel controls,0.0327299702058148,12
ITA,H1_Public information campaigns,0.0258477661104432,13
ITA,H3_Contact tracing,7.096516899357451e-05,14
ITA,C3_Cancel public events,0.0,15
