ISO,Policy,score,rank
KHM,H7_Vaccination policy,0.0796032529344707,1
KHM,E1_Income support,0.0718378426865752,2
KHM,C7_Restrictions on internal movement,0.0691569825049561,3
KHM,C6_Stay at home requirements,0.0653578810331776,4
KHM,C4_Restrictions on gatherings,0.0619276477863846,5
KHM,H2_Testing policy,0.0583263477390423,6
KHM,H6_Facial Coverings,0.0575762929502945,7
KHM,C1_School closing,0.0574375793631093,8
KHM,C2_Workplace closing,0.0569498571285056,9
KHM,H1_Public information campaigns,0.056790367597391,10
KHM,C3_Cancel public events,0.0495126010402471,11
KHM,C8_International travel controls,0.0444112757380858,12
KHM,H3_Contact tracing,0.0377815636838338,13
KHM,E2_Debt/contract relief,0.0336889640107121,14
KHM,C5_Close public transport,0.0,15
