ISO,Policy,score,rank
LKA,H7_Vaccination policy,0.0975234753144992,1
LKA,H2_Testing policy,0.0838759847603808,2
LKA,C8_International travel controls,0.0663472526533633,3
LKA,C1_School closing,0.0634715143400348,4
LKA,C4_Restrictions on gatherings,0.0621800579800335,5
LKA,C5_Close public transport,0.0591090757720357,6
LKA,E2_Debt/contract relief,0.0519734312053791,7
LKA,C6_Stay at home requirements,0.0505641626964859,8
LKA,C7_Restrictions on internal movement,0.050013168085101,9
LKA,H6_Facial Coverings,0.0395887187828238,10
LKA,C2_Workplace closing,0.0385111909976831,11
LKA,H1_Public information campaigns,0.0315061748569647,12
LKA,H3_Contact tracing,0.0296306258470188,13
LKA,E1_Income support,0.0172694948880452,14
LKA,C3_Cancel public events,0.0,15
