ISO,Policy,score,rank
MUS,H6_Facial Coverings,0.0946182951998937,1
MUS,C8_International travel controls,0.0834602384248643,2
MUS,C7_Restrictions on internal movement,0.0804806795910479,3
MUS,H7_Vaccination policy,0.075041527018307,4
MUS,C6_Stay at home requirements,0.063706154363828,5
MUS,E2_Debt/contract relief,0.0585838186119051,6
MUS,H1_Public information campaigns,0.0577386899915785,7
MUS,C4_Restrictions on gatherings,0.0533260452971706,8
MUS,C5_Close public transport,0.0523066842593794,9
MUS,C1_School closing,0.0463339355211308,10
MUS,H3_Contact tracing,0.0460492376084087,11
MUS,H2_Testing policy,0.0421699721642939,12
MUS,C3_Cancel public events,0.0387670210584315,13
MUS,C2_Workplace closing,0.0224833253226468,14
MUS,E1_Income support,0.0021330647215745,15
