ISO,Policy,score,rank
NGA,H7_Vaccination policy,0.104074150008342,1
NGA,H6_Facial Coverings,0.0904010992783021,2
NGA,C7_Restrictions on internal movement,0.0878106939422918,3
NGA,C3_Cancel public events,0.0856599814862281,4
NGA,C5_Close public transport,0.081186901766174,5
NGA,C1_School closing,0.0613413779910686,6
NGA,E2_Debt/contract relief,0.0517927383125988,7
NGA,C2_Workplace closing,0.0513536825637009,8
NGA,H3_Contact tracing,0.0501523658406092,9
NGA,H2_Testing policy,0.0490494124045321,10
NGA,E1_Income support,0.0364560161008421,11
NGA,C8_International travel controls,0.0305000587525476,12
NGA,C4_Restrictions on gatherings,0.0290909592654995,13
NGA,H1_Public information campaigns,0.0264303546732401,14
NGA,C6_Stay at home requirements,0.0,15
