ISO,Policy,score,rank
NIC,C8_International travel controls,0.0690644933088352,1
NIC,C1_School closing,0.0636159030111474,2
NIC,H7_Vaccination policy,0.0605503360292657,3
NIC,H1_Public information campaigns,0.0591717422499127,4
NIC,H2_Testing policy,0.0580798728515489,5
NIC,H3_Contact tracing,0.0578442496051541,6
NIC,H6_Facial Coverings,0.0568133753296949,7
NIC,E2_Debt/contract relief,0.0551937862236564,8
NIC,C4_Restrictions on gatherings,0.0532274632402745,9
NIC,C5_Close public transport,0.0487202140525784,10
NIC,C2_Workplace closing,0.0445529089832902,11
NIC,E1_Income support,0.0423239034016394,12
NIC,C3_Cancel public events,0.0348342493415486,13
NIC,C7_Restrictions on internal movement,0.0321284245386376,14
NIC,C6_Stay at home requirements,0.0271460148056831,15
