ISO,Policy,score,rank
NZL,H2_Testing policy,0.0937175671267461,1
NZL,E1_Income support,0.0875852176361313,2
NZL,H7_Vaccination policy,0.0763330112694391,3
NZL,H6_Facial Coverings,0.0734891422727314,4
NZL,C5_Close public transport,0.0650121965529971,5
NZL,C6_Stay at home requirements,0.0648908253858361,6
NZL,C1_School closing,0.0527852136501488,7
NZL,C4_Restrictions on gatherings,0.0478994851276674,8
NZL,E2_Debt/contract relief,0.0472989386367167,9
NZL,C3_Cancel public events,0.0460925236153053,10
NZL,C8_International travel controls,0.0424942228433273,11
NZL,H3_Contact tracing,0.0377217021781732,12
NZL,C2_Workplace closing,0.0304091709046317,13
NZL,H1_Public information campaigns,0.0252859741517061,14
NZL,C7_Restrictions on internal movement,0.0,15
