ISO,Policy,score,rank
OMN,H2_Testing policy,0.0694580046146301,1
OMN,E2_Debt/contract relief,0.0659360410332594,2
OMN,C6_Stay at home requirements,0.0654233940696599,3
OMN,C7_Restrictions on internal movement,0.0652330491552918,4
OMN,H7_Vaccination policy,0.06472632150962,5
OMN,H6_Facial Coverings,0.062773388293247,6
OMN,C5_Close public transport,0.0625875639109364,7
OMN,C4_Restrictions on gatherings,0.058913037284227,8
OMN,C2_Workplace closing,0.0572381519524596,9
OMN,E1_Income support,0.0541541720664875,10
OMN,C8_International travel controls,0.0506592020820721,11
OMN,C1_School closing,0.0493650612551842,12
OMN,H3_Contact tracing,0.0464094104240775,13
OMN,H1_Public information campaigns,0.0363136603075901,14
OMN,C3_Cancel public events,0.0,15
