ISO,Policy,score,rank
PHL,H7_Vaccination policy,0.1095986268933062,1
PHL,H6_Facial Coverings,0.0874311804323897,2
PHL,C7_Restrictions on internal movement,0.080262541219323,3
PHL,E1_Income support,0.0589086255644166,4
PHL,C4_Restrictions on gatherings,0.0575372965574763,5
PHL,C1_School closing,0.0573051015931216,6
PHL,C8_International travel controls,0.0564524158306986,7
PHL,H2_Testing policy,0.0564322219602922,8
PHL,C6_Stay at home requirements,0.0551541202237785,9
PHL,H3_Contact tracing,0.0507453586998007,10
PHL,C5_Close public transport,0.047894975357238,11
PHL,E2_Debt/contract relief,0.046172639926288,12
PHL,C2_Workplace closing,0.0399830275633281,13
PHL,C3_Cancel public events,0.0088818434331086,14
PHL,H1_Public information campaigns,0.0066697456669157,15
