ISO,Policy,score,rank
QAT,H7_Vaccination policy,0.1028218129761005,1
QAT,H2_Testing policy,0.1010208486419109,2
QAT,C8_International travel controls,0.0885170033630919,3
QAT,C1_School closing,0.0788441503720431,4
QAT,C3_Cancel public events,0.0768177600822417,5
QAT,H6_Facial Coverings,0.0604304694092336,6
QAT,E2_Debt/contract relief,0.0594093222391915,7
QAT,C6_Stay at home requirements,0.0562190016712098,8
QAT,C7_Restrictions on internal movement,0.0552427855124422,9
QAT,C2_Workplace closing,0.0525106408422704,10
QAT,E1_Income support,0.0452274612690429,11
QAT,C4_Restrictions on gatherings,0.0445840187137378,12
QAT,C5_Close public transport,0.0444718849433135,13
QAT,H3_Contact tracing,0.0256774468374051,14
QAT,H1_Public information campaigns,0.0074040755716469,15
