ISO,Policy,score,rank
ROU,H7_Vaccination policy,0.0859768520470881,1
ROU,H3_Contact tracing,0.0797025243675076,2
ROU,C7_Restrictions on internal movement,0.0759012154725896,3
ROU,H6_Facial Coverings,0.0707223452143626,4
ROU,E2_Debt/contract relief,0.0695203876801778,5
ROU,C8_International travel controls,0.0623940736724706,6
ROU,C2_Workplace closing,0.0614281558957982,7
ROU,H2_Testing policy,0.0590817689850176,8
ROU,C5_Close public transport,0.0534921476010998,9
ROU,C1_School closing,0.0471296436849756,10
ROU,C4_Restrictions on gatherings,0.0442779628323138,11
ROU,C6_Stay at home requirements,0.0421572757059166,12
ROU,C3_Cancel public events,0.0255508517752472,13
ROU,H1_Public information campaigns,0.0153494277006516,14
ROU,E1_Income support,0.0,15
