ISO,Policy,score,rank
SGP,E1_Income support,0.0853526846312349,1
SGP,E2_Debt/contract relief,0.0839331559731766,2
SGP,C3_Cancel public events,0.0745830655013109,3
SGP,C7_Restrictions on internal movement,0.0676602336709854,4
SGP,C2_Workplace closing,0.0642055910513647,5
SGP,H7_Vaccination policy,0.061686780449932,6
SGP,C1_School closing,0.05993332469579,7
SGP,H6_Facial Coverings,0.0552509220485608,8
SGP,C4_Restrictions on gatherings,0.053120092320371,9
SGP,H2_Testing policy,0.0500277316353841,10
SGP,C6_Stay at home requirements,0.0494545084812647,11
SGP,C8_International travel controls,0.0424424692382431,12
SGP,C5_Close public transport,0.0408709491754825,13
SGP,H1_Public information campaigns,0.0152244474386117,14
SGP,H3_Contact tracing,0.014123390612747,15
