ISO,Policy,score,rank
SMR,H7_Vaccination policy,0.1175641927496575,1
SMR,H6_Facial Coverings,0.0773299865815013,2
SMR,H2_Testing policy,0.0678053087373205,3
SMR,C1_School closing,0.065092842753908,4
SMR,C8_International travel controls,0.0646903456914661,5
SMR,C6_Stay at home requirements,0.0595994737603118,6
SMR,C3_Cancel public events,0.0556810732252914,7
SMR,C2_Workplace closing,0.0555255814540228,8
SMR,C5_Close public transport,0.0534755195188828,9
SMR,C7_Restrictions on internal movement,0.0515558821730244,10
SMR,C4_Restrictions on gatherings,0.0446432760455214,11
SMR,E2_Debt/contract relief,0.0387691559887676,12
SMR,E1_Income support,0.0358537977074321,13
SMR,H1_Public information campaigns,0.0327102061066571,14
SMR,H3_Contact tracing,0.0282830231919815,15
