ISO,Policy,score,rank
SWE,H7_Vaccination policy,0.1176310842226998,1
SWE,C1_School closing,0.0815361798618891,2
SWE,C4_Restrictions on gatherings,0.0763268325400275,3
SWE,H6_Facial Coverings,0.0757619022037134,4
SWE,E2_Debt/contract relief,0.0663092905773211,5
SWE,C7_Restrictions on internal movement,0.064413711465724,6
SWE,H2_Testing policy,0.0553513653816084,7
SWE,C5_Close public transport,0.0531588988072153,8
SWE,C2_Workplace closing,0.0506573206612454,9
SWE,C6_Stay at home requirements,0.0383842611282835,10
SWE,E1_Income support,0.0300081392783426,11
SWE,C3_Cancel public events,0.0282631611259469,12
SWE,H3_Contact tracing,0.0161497177145001,13
SWE,H1_Public information campaigns,0.0046811656039539,14
SWE,C8_International travel controls,0.0,15
