ISO,Policy,score,rank
SYR,H6_Facial Coverings,0.087083281488096,1
SYR,C4_Restrictions on gatherings,0.0816473955044048,2
SYR,H2_Testing policy,0.0795187537053979,3
SYR,H1_Public information campaigns,0.0775356140207668,4
SYR,C1_School closing,0.0739307867604498,5
SYR,H7_Vaccination policy,0.0727835063052361,6
SYR,C8_International travel controls,0.0657145307006416,7
SYR,C2_Workplace closing,0.0607449987901053,8
SYR,C6_Stay at home requirements,0.0529785051102241,9
SYR,C3_Cancel public events,0.0519480881172217,10
SYR,C5_Close public transport,0.0461680551884411,11
SYR,C7_Restrictions on internal movement,0.0383473763217068,12
SYR,E2_Debt/contract relief,0.0314654407413482,13
SYR,E1_Income support,0.0294476307363051,14
SYR,H3_Contact tracing,0.0149349761277505,15
