ISO,Policy,score,rank
TJK,C1_School closing,0.1158903793142991,1
TJK,C5_Close public transport,0.1129274299201398,2
TJK,H3_Contact tracing,0.0936232518532347,3
TJK,C7_Restrictions on internal movement,0.0874943131222208,4
TJK,C6_Stay at home requirements,0.083993407857413,5
TJK,C8_International travel controls,0.0716574972647967,6
TJK,C4_Restrictions on gatherings,0.0605446196977693,7
TJK,H7_Vaccination policy,0.0558585987659627,8
TJK,H2_Testing policy,0.0513892923412616,9
TJK,H6_Facial Coverings,0.0434183776265245,10
TJK,E2_Debt/contract relief,0.0394793426863263,11
TJK,H1_Public information campaigns,0.0299066896957691,12
TJK,E1_Income support,0.0217387588390422,13
TJK,C2_Workplace closing,0.0210796348793132,14
TJK,C3_Cancel public events,0.0206743265081398,15
