ISO,Policy,score,rank
TTO,H7_Vaccination policy,0.0872433461187463,1
TTO,H6_Facial Coverings,0.0839952451866878,2
TTO,C6_Stay at home requirements,0.0800650863353253,3
TTO,C4_Restrictions on gatherings,0.0779417755561629,4
TTO,C1_School closing,0.0715414534613586,5
TTO,E1_Income support,0.0701320413086303,6
TTO,C7_Restrictions on internal movement,0.0641139625146954,7
TTO,H2_Testing policy,0.052665385363699,8
TTO,E2_Debt/contract relief,0.0500152801377492,9
TTO,C2_Workplace closing,0.0437827444513075,10
TTO,C3_Cancel public events,0.0422946014930104,11
TTO,C8_International travel controls,0.0387993192193049,12
TTO,H1_Public information campaigns,0.0211490653345745,13
TTO,H3_Contact tracing,0.0137239720726837,14
TTO,C5_Close public transport,0.0,15
