ISO,Policy,score,rank
TUR,H7_Vaccination policy,0.0882288121882241,1
TUR,C7_Restrictions on internal movement,0.0851113152528246,2
TUR,C1_School closing,0.0687630730011371,3
TUR,C8_International travel controls,0.0682847342105636,4
TUR,H6_Facial Coverings,0.0643990498269419,5
TUR,C2_Workplace closing,0.0621645360978111,6
TUR,E1_Income support,0.0607336864955221,7
TUR,C4_Restrictions on gatherings,0.0552663875255523,8
TUR,C6_Stay at home requirements,0.0463348577476846,9
TUR,H3_Contact tracing,0.0455734033266102,10
TUR,E2_Debt/contract relief,0.0455046039968401,11
TUR,C5_Close public transport,0.041852789116777,12
TUR,C3_Cancel public events,0.0353389941814656,13
TUR,H1_Public information campaigns,0.0253762427863408,14
TUR,H2_Testing policy,0.0239270796974687,15
