ISO,Policy,score,rank
VNM,C2_Workplace closing,0.1213904886821166,1
VNM,H7_Vaccination policy,0.0885134466885925,2
VNM,E2_Debt/contract relief,0.0884158598934532,3
VNM,C7_Restrictions on internal movement,0.0758737541916233,4
VNM,H6_Facial Coverings,0.0711759147240965,5
VNM,H3_Contact tracing,0.0604912858013502,6
VNM,H2_Testing policy,0.0586068339394433,7
VNM,C6_Stay at home requirements,0.0541763170914839,8
VNM,C1_School closing,0.0530093242172232,9
VNM,C5_Close public transport,0.052300866490083,10
VNM,C8_International travel controls,0.0490322726150879,11
VNM,C3_Cancel public events,0.0477461058633767,12
VNM,C4_Restrictions on gatherings,0.0417289280339739,13
VNM,E1_Income support,0.0265532365678083,14
VNM,H1_Public information campaigns,0.0,15
