ISO,Policy,score,rank
ZMB,H7_Vaccination policy,0.1300337417603025,1
ZMB,E2_Debt/contract relief,0.1053328539027038,2
ZMB,C3_Cancel public events,0.0813905702732909,3
ZMB,H3_Contact tracing,0.0789276053648904,4
ZMB,C4_Restrictions on gatherings,0.0772928518835487,5
ZMB,H2_Testing policy,0.0744130132966195,6
ZMB,C1_School closing,0.059103313192669,7
ZMB,C8_International travel controls,0.0517035452606748,8
ZMB,H6_Facial Coverings,0.049638547812745,9
ZMB,C2_Workplace closing,0.0370983842532954,10
ZMB,C7_Restrictions on internal movement,0.0255343608646588,11
ZMB,C6_Stay at home requirements,0.0248612629619316,12
ZMB,E1_Income support,0.0141780139679858,13
ZMB,H1_Public information campaigns,0.0079299578694186,14
ZMB,C5_Close public transport,0.0,15
