Date,history,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL
2020-01-28,0,NULL,NULL,NULL
2020-01-29,0,NULL,NULL,NULL
2020-01-30,0,NULL,NULL,NULL
2020-01-31,0,NULL,NULL,NULL
2020-02-01,0,NULL,NULL,NULL
2020-02-02,0,NULL,NULL,NULL
2020-02-03,0,NULL,NULL,NULL
2020-02-04,0,NULL,NULL,NULL
2020-02-05,0,NULL,NULL,NULL
2020-02-06,0,NULL,NULL,NULL
2020-02-07,0,NULL,NULL,NULL
2020-02-08,0,NULL,NULL,NULL
2020-02-09,0,NULL,NULL,NULL
2020-02-10,0,NULL,NULL,NULL
2020-02-11,0,NULL,NULL,NULL
2020-02-12,0,NULL,NULL,NULL
2020-02-13,0,NULL,NULL,NULL
2020-02-14,0,NULL,NULL,NULL
2020-02-15,0,NULL,NULL,NULL
2020-02-16,0,NULL,NULL,NULL
2020-02-17,0,NULL,NULL,NULL
2020-02-18,0,NULL,NULL,NULL
2020-02-19,0,NULL,NULL,NULL
2020-02-20,0,NULL,NULL,NULL
2020-02-21,0,NULL,NULL,NULL
2020-02-22,0,NULL,NULL,NULL
2020-02-23,0,NULL,NULL,NULL
2020-02-24,0,NULL,NULL,NULL
2020-02-25,0,NULL,NULL,NULL
2020-02-26,0,NULL,NULL,NULL
2020-02-27,0,NULL,NULL,NULL
2020-02-28,0,NULL,NULL,NULL
2020-02-29,0,NULL,NULL,NULL
2020-03-01,0,NULL,NULL,NULL
2020-03-02,0,NULL,NULL,NULL
2020-03-03,0,NULL,NULL,NULL
2020-03-04,0,NULL,NULL,NULL
2020-03-05,0,NULL,NULL,NULL
2020-03-06,0,NULL,NULL,NULL
2020-03-07,0,NULL,NULL,NULL
2020-03-08,0,NULL,NULL,NULL
2020-03-09,2,NULL,NULL,NULL
2020-03-10,8,NULL,NULL,NULL
2020-03-11,1,NULL,NULL,NULL
2020-03-12,10,NULL,NULL,NULL
2020-03-13,10,NULL,NULL,NULL
2020-03-14,4,NULL,NULL,NULL
2020-03-15,4,NULL,NULL,NULL
2020-03-16,8,NULL,NULL,NULL
2020-03-17,4,NULL,NULL,NULL
2020-03-18,3,NULL,NULL,NULL
2020-03-19,5,NULL,NULL,NULL
2020-03-20,5,NULL,NULL,NULL
2020-03-21,5,NULL,NULL,NULL
2020-03-22,13,NULL,NULL,NULL
2020-03-23,14,NULL,NULL,NULL
2020-03-24,18,NULL,NULL,NULL
2020-03-25,22,NULL,NULL,NULL
2020-03-26,28,NULL,NULL,NULL
2020-03-27,11,NULL,NULL,NULL
2020-03-28,11,NULL,NULL,NULL
2020-03-29,14,NULL,NULL,NULL
2020-03-30,11,NULL,NULL,NULL
2020-03-31,20,NULL,NULL,NULL
2020-04-01,15,NULL,NULL,NULL
2020-04-02,17,NULL,NULL,NULL
2020-04-03,26,NULL,NULL,NULL
2020-04-04,28,NULL,NULL,NULL
2020-04-05,28,NULL,NULL,NULL
2020-04-06,15,NULL,NULL,NULL
2020-04-07,5,NULL,NULL,NULL
2020-04-08,17,NULL,NULL,NULL
2020-04-09,9,NULL,NULL,NULL
2020-04-10,6,NULL,NULL,NULL
2020-04-11,17,NULL,NULL,NULL
2020-04-12,13,NULL,NULL,NULL
2020-04-13,20,NULL,NULL,NULL
2020-04-14,7,NULL,NULL,NULL
2020-04-15,19,NULL,NULL,NULL
2020-04-16,23,NULL,NULL,NULL
2020-04-17,20,NULL,NULL,NULL
2020-04-18,9,NULL,NULL,NULL
2020-04-19,14,NULL,NULL,NULL
2020-04-20,21,NULL,NULL,NULL
2020-04-21,25,NULL,NULL,NULL
2020-04-22,25,NULL,NULL,NULL
2020-04-23,28,NULL,NULL,NULL
2020-04-24,15,NULL,NULL,NULL
2020-04-25,33,NULL,NULL,NULL
2020-04-26,14,NULL,NULL,NULL
2020-04-27,10,NULL,NULL,NULL
2020-04-28,13,NULL,NULL,NULL
2020-04-29,15,NULL,NULL,NULL
2020-04-30,6,NULL,NULL,NULL
2020-05-01,9,NULL,NULL,NULL
2020-05-02,6,NULL,NULL,NULL
2020-05-03,5,NULL,NULL,NULL
2020-05-04,8,NULL,NULL,NULL
2020-05-05,16,NULL,NULL,NULL
2020-05-06,12,NULL,NULL,NULL
2020-05-07,10,NULL,NULL,NULL
