Date,history,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL
2020-01-28,0,NULL,NULL,NULL
2020-01-29,0,NULL,NULL,NULL
2020-01-30,0,NULL,NULL,NULL
2020-01-31,0,NULL,NULL,NULL
2020-02-01,0,NULL,NULL,NULL
2020-02-02,0,NULL,NULL,NULL
2020-02-03,0,NULL,NULL,NULL
2020-02-04,0,NULL,NULL,NULL
2020-02-05,0,NULL,NULL,NULL
2020-02-06,0,NULL,NULL,NULL
2020-02-07,0,NULL,NULL,NULL
2020-02-08,0,NULL,NULL,NULL
2020-02-09,0,NULL,NULL,NULL
2020-02-10,0,NULL,NULL,NULL
2020-02-11,0,NULL,NULL,NULL
2020-02-12,0,NULL,NULL,NULL
2020-02-13,0,NULL,NULL,NULL
2020-02-14,0,NULL,NULL,NULL
2020-02-15,0,NULL,NULL,NULL
2020-02-16,0,NULL,NULL,NULL
2020-02-17,0,NULL,NULL,NULL
2020-02-18,0,NULL,NULL,NULL
2020-02-19,0,NULL,NULL,NULL
2020-02-20,0,NULL,NULL,NULL
2020-02-21,0,NULL,NULL,NULL
2020-02-22,0,NULL,NULL,NULL
2020-02-23,0,NULL,NULL,NULL
2020-02-24,0,NULL,NULL,NULL
2020-02-25,1,NULL,NULL,NULL
2020-02-26,0,NULL,NULL,NULL
2020-02-27,0,NULL,NULL,NULL
2020-02-28,0,NULL,NULL,NULL
2020-02-29,0,NULL,NULL,NULL
2020-03-01,0,NULL,NULL,NULL
2020-03-02,1,NULL,NULL,NULL
2020-03-03,2,NULL,NULL,NULL
2020-03-04,6,NULL,NULL,NULL
2020-03-05,0,NULL,NULL,NULL
2020-03-06,5,NULL,NULL,NULL
2020-03-07,0,NULL,NULL,NULL
2020-03-08,2,NULL,NULL,NULL
2020-03-09,0,NULL,NULL,NULL
2020-03-10,0,NULL,NULL,NULL
2020-03-11,0,NULL,NULL,NULL
2020-03-12,3,NULL,NULL,NULL
2020-03-13,2,NULL,NULL,NULL
2020-03-14,11,NULL,NULL,NULL
2020-03-15,11,NULL,NULL,NULL
2020-03-16,6,NULL,NULL,NULL
2020-03-17,5,NULL,NULL,NULL
2020-03-18,13,NULL,NULL,NULL
2020-03-19,13,NULL,NULL,NULL
2020-03-20,3,NULL,NULL,NULL
2020-03-21,48,NULL,NULL,NULL
2020-03-22,61,NULL,NULL,NULL
2020-03-23,29,NULL,NULL,NULL
2020-03-24,34,NULL,NULL,NULL
2020-03-25,37,NULL,NULL,NULL
2020-03-26,65,NULL,NULL,NULL
2020-03-27,41,NULL,NULL,NULL
2020-03-28,45,NULL,NULL,NULL
2020-03-29,57,NULL,NULL,NULL
2020-03-30,72,NULL,NULL,NULL
2020-03-31,131,NULL,NULL,NULL
2020-04-01,130,NULL,NULL,NULL
2020-04-02,139,NULL,NULL,NULL
2020-04-03,184,NULL,NULL,NULL
2020-04-04,80,NULL,NULL,NULL
2020-04-05,68,NULL,NULL,NULL
2020-04-06,103,NULL,NULL,NULL
2020-04-07,45,NULL,NULL,NULL
2020-04-08,104,NULL,NULL,NULL
2020-04-09,94,NULL,NULL,NULL
2020-04-10,94,NULL,NULL,NULL
2020-04-11,63,NULL,NULL,NULL
2020-04-12,89,NULL,NULL,NULL
2020-04-13,69,NULL,NULL,NULL
2020-04-14,86,NULL,NULL,NULL
2020-04-15,89,NULL,NULL,NULL
2020-04-16,108,NULL,NULL,NULL
2020-04-17,149,NULL,NULL,NULL
2020-04-18,116,NULL,NULL,NULL
2020-04-19,95,NULL,NULL,NULL
2020-04-20,88,NULL,NULL,NULL
2020-04-21,93,NULL,NULL,NULL
2020-04-22,99,NULL,NULL,NULL
2020-04-23,97,NULL,NULL,NULL
2020-04-24,119,NULL,NULL,NULL
2020-04-25,129,NULL,NULL,NULL
2020-04-26,125,NULL,NULL,NULL
2020-04-27,135,NULL,NULL,NULL
2020-04-28,131,NULL,NULL,NULL
2020-04-29,199,NULL,NULL,NULL
2020-04-30,157,NULL,NULL,NULL
2020-05-01,148,NULL,NULL,NULL
2020-05-02,141,NULL,NULL,NULL
2020-05-03,178,NULL,NULL,NULL
2020-05-04,174,NULL,NULL,NULL
2020-05-05,189,NULL,NULL,NULL
2020-05-06,159,NULL,NULL,NULL
2020-05-07,184,NULL,NULL,NULL
